F,G,time
"[-92.89, -4.11, -0.73]","[-0.87, -5.57, 0.65]",9.03
"[-92.78, -4.12, -0.73]","[-0.87, -5.57, 0.64]",9.03
"[-92.58, -4.06, -0.64]","[-0.87, -5.56, 0.64]",33.024
"[-92.62, -4.05, -0.64]","[-0.87, -5.56, 0.64]",35.028999999999996
"[-92.59, -4.06, -0.66]","[-0.87, -5.56, 0.64]",37.03
"[-92.84, -4.02, -0.73]","[-0.87, -5.55, 0.65]",67.038
"[-92.86, -4.05, -0.72]","[-0.87, -5.55, 0.65]",69.04299999999999
"[-92.89, -4.04, -0.7]","[-0.87, -5.55, 0.65]",71.037
"[-92.92, -4.03, -0.68]","[-0.87, -5.55, 0.65]",74.00099999999999
"[-93.03, -4.06, -0.57]","[-0.87, -5.55, 0.65]",107.999
"[-93.0, -4.09, -0.59]","[-0.86, -5.56, 0.65]",110.00200000000001
"[-92.97, -4.08, -0.59]","[-0.86, -5.56, 0.65]",112.005
"[-92.96, -4.08, -0.6]","[-0.86, -5.56, 0.65]",113.99900000000001
"[-92.9, -4.07, -0.64]","[-0.86, -5.56, 0.65]",128.035
"[-92.82, -4.05, -0.67]","[-0.87, -5.56, 0.65]",134.001
"[-92.69, -4.05, -0.67]","[-0.87, -5.56, 0.65]",156.001
"[-92.7, -4.06, -0.67]","[-0.87, -5.56, 0.65]",161.036
"[-92.69, -4.06, -0.67]","[-0.87, -5.56, 0.65]",164.055
"[-92.7, -4.03, -0.66]","[-0.86, -5.56, 0.65]",200.005
"[-92.86, -4.04, -0.68]","[-0.87, -5.55, 0.65]",201.004
"[-92.93, -4.03, -0.7]","[-0.87, -5.55, 0.65]",204.003
"[-92.93, -3.98, -0.69]","[-0.87, -5.55, 0.65]",205.0
"[-92.98, -4.03, -0.69]","[-0.86, -5.55, 0.65]",215.001
"[-92.96, -4.07, -0.66]","[-0.86, -5.55, 0.66]",224.0
"[-92.99, -4.04, -0.66]","[-0.85, -5.55, 0.66]",235.014
"[-92.91, -4.04, -0.67]","[-0.85, -5.55, 0.66]",245.014
